localTime,open,high,low,close,volume,movingAverage,ema,rsi,macd,bollingerUpper,bollingerLower,macd_signal,macd_hist
 03:45:00,202.68,202.75,202.56,202.68,0,202.68,202.68,,0.0,204.7664927829867,201.68350721701336,0.0,0.0
 13:30:00,203.29,203.8,203.29,203.77,0,203.22500000000002,202.82533333333333,,0.08695156695156925,204.7664927829867,201.68350721701336,0.01739031339031385,0.06956125356125539
 24:00:00,203.44000244140625,203.52999877929688,202.6699981689453,202.74009704589844,2271720,203.06336568196616,202.81396849500868,,0.07192761233341116,204.2887667727096,201.83796459122271,0.028297773178933314,0.04362983915447785
 24:00:00,203.8600006103516,203.97000122070312,203.6201019287109,203.7700042724609,827653,203.24002532958986,202.9414399320023,,0.14149486126336797,204.46493756578198,202.01511309339773,0.05093719079582025,0.09055767046754772
 24:00:00,214.6100006103516,214.7949981689453,214.4499969482422,214.50999450683597,1302865,205.49401916503908,204.48391387531348,,1.0511379967995538,215.62985024564819,195.35818808442997,0.25097735199656696,0.8001606448029868
 24:00:00,219.4900054931641,219.97999572753903,219.24349975585935,219.83999633789065,1508614,207.88501536051433,206.53139153699044,,2.1770279157590267,222.6969282929605,193.07310242806815,0.6361874647490589,1.5408404510099678
 24:00:00,229.2915954589844,229.87989807128903,229.19000244140625,229.63999938964844,2333128,210.9928702218192,209.6125392506782,,3.816092592397297,232.2830706770096,189.70266976662882,1.2721684902787065,2.5439241021185905
 13:30:00,228.41,228.9,226.42,227.13,0,213.0100114440918,211.9482006839211,,4.856543967883852,235.7855000344464,190.2345228537372,1.9890435857997355,2.867500382084116
 24:00:00,227.75999450683597,227.9600067138672,227.16000366210935,227.16000366210935,940098,214.5822328016493,213.9764410810129,,5.618760648585635,237.8818079128173,191.2826576904813,2.714986998356916,2.903773650228719
 24:00:00,229.5800018310547,229.6100006103516,229.0200042724609,229.22979736328125,824427,216.0469892578125,216.01022191864868,,6.317019247535683,239.8875376626754,192.20644085294958,3.435393448192669,2.8816257993430137
 24:00:00,232.94000244140625,233.3885040283203,230.8000030517578,232.7801055908203,3536236,217.56818165172228,218.24620640827158,,7.075314598225759,242.33412057171617,192.8022427317284,4.1633776781992875,2.9119369200264718
 24:00:00,232.7100067138672,232.72999572753903,232.44000244140625,232.58999633789065,883682,218.81999954223633,220.15871173222078,,7.573624865931862,243.97573025796083,193.66426882651183,4.845427115745803,2.728197750186059
 24:00:00,230.8600006103516,230.97999572753903,230.6499938964844,230.69000244140625,1085882,219.73307668832632,221.56288382677886,,7.726163313378834,244.70164631109185,194.7645070655608,5.421574355272409,2.3045889581064243
 13:30:00,231.21,231.3,231.06,231.1,0,220.5449997820173,222.8344993165417,,7.790332405786302,245.29150713497944,195.79849242905516,5.8953259653751875,1.8950064404111142
 24:00:00,231.1499938964844,231.32000732421875,231.1000061035156,231.2350006103516,536454,222.5846426827567,223.95456615571635,,7.762597898318347,245.73461773163214,196.78071527618042,6.268780351963819,1.4938175463545278
 24:00:00,230.0249938964844,230.08999633789065,229.6199951171875,229.75999450683597,792752,224.44107086181643,224.72862326919898,,7.534741624684727,245.81513382918922,197.76299017898953,6.521972606508001,1.0127690181767264
 24:00:00,225.9900054931641,226.3390045166016,225.9900054931641,226.18499755859372,521775,226.11570661272324,224.92280650778494,,6.985170809018712,245.40831321116127,198.68697968578272,6.614612247010144,0.3705585620085676
 24:00:00,224.22349548339844,224.47000122070312,224.0941925048828,224.2749938964844,639158,227.5803487287249,224.83643149294488,,6.322627332997939,244.8588733429198,199.48390260380333,6.556215264207704,-0.2335879312097644
 24:00:00,227.8800048828125,228.4499969482422,227.8249969482422,228.4199981689453,1924658,228.5739204188756,225.3142403830783,,6.062143442374605,244.73416318764083,200.2663612007227,6.457400899841085,-0.3952574574664798
 13:30:00,227.75,227.75,227.17,227.17,0,229.09749210902623,225.56167499866785,,5.689261412684061,244.47517071453927,200.99232745440605,6.303773002409681,-0.6145115897256197
 24:00:00,227.875,227.90499877929688,227.47000122070312,227.5249938964844,688295,228.9464202880859,225.82345085171008,,5.360601085863323,243.6320636383323,204.31993392026143,6.11513861910041,-0.7545375332370874
 24:00:00,228.3600006103516,228.5290069580078,228.07009887695312,228.1199951171875,546201,229.0171342250279,226.12965675377376,,5.0894786925885,242.44982255150362,207.93717451880892,5.910006633798028,-0.8205279412095283
 24:00:00,230.6199951171875,230.63499450683597,230.2350006103516,230.2400054931641,602464,229.23713435581755,226.67770325235915,,4.988178742749227,240.31781477485492,212.8191731401842,5.725641055588268,-0.7374623128390407
 24:00:00,232.9199981689453,233.1699981689453,232.8300018310547,232.96299743652344,615966,229.50379150390629,227.5157424769144,,5.069186073909549,236.93071756977457,219.1255696616708,5.594350059252524,-0.5251639853429753
 24:00:00,232.19000244140625,232.4149932861328,232.0800018310547,232.11819458007807,453308,229.4565121459961,228.1294027573362,,5.007493173034845,235.31497942896624,222.50212780980337,5.476978682008989,-0.46948550897414343
 13:30:00,231.46,231.46,230.57,230.97,0,229.34079812186107,228.50814905635804,,4.810498960285912,234.29408587923126,224.63602172574917,5.343682737664374,-0.5331837773784622
 24:00:00,228.3999938964844,228.59429931640625,228.3500061035156,228.5050048828125,505744,229.1847268676758,228.50772983321863,,4.404700477014245,234.2553225559249,224.561285598372,5.155886285534349,-0.7511858085201037
 24:00:00,236.8999938964844,237.25,236.7700042724609,237.17999267578125,1154427,229.61901205880304,229.66403154556033,,4.728592993810139,235.74631929635981,224.0752881255152,5.070427627189507,-0.34183463337936804
 24:00:00,238.07000732421875,238.23150634765625,237.8800048828125,237.9900054931641,607698,230.10151240757537,230.77416140524085,,4.993084244608866,237.1580759233123,223.74653168166816,5.054958950673379,-0.06187470606451306
 24:00:00,239.1199951171875,239.77999877929688,239.1000061035156,239.77999877929688,1319341,230.8172269984654,231.97493972178165,,5.28619697681097,238.84099214092043,223.11863560566155,5.101206555900898,0.18499042091007212
 13:30:00,240.3,240.43,240.16,240.27,0,231.823298601423,233.08094775887744,,5.494690559796766,240.2253456769663,222.4832715105337,5.179903356680072,0.31478720311669406
 24:00:00,237.15499877929688,237.19500732421875,236.6499938964844,236.8699951171875,967178,232.7229415457589,233.5861540733188,,5.32419721610205,240.76536325660183,222.3712538088279,5.208762128564468,0.11543508753758225
 24:00:00,234.5500030517578,234.69000244140625,233.77999877929688,233.80499267578125,2634528,233.10758401053292,233.6153325536471,,4.885443578666667,240.96388944219038,222.48422664667683,5.144098418584908,-0.2586548399182407
 24:00:00,227.05499267578125,227.3500061035156,226.8000030517578,226.81500244140625,1355792,233.08222704206196,232.708621872015,,3.928410099544408,241.00573658481534,222.01387974819244,4.900960754776808,-0.9725506552323999
 24:00:00,229.46499633789065,229.9900054931641,229.44000244140625,229.96499633789065,833183,233.25651293073383,232.34280513413177,,3.385110902805849,240.96692709846334,221.92568880729837,4.5977907843826165,-1.2126798815767676
 24:00:00,233.5399932861328,234.19000244140625,233.44000244140625,234.1649932861328,1796453,233.68829851422993,232.5857635543986,,3.2559148681518764,241.22664810875096,222.1064676749404,4.329415601136469,-1.0735007329845923
 13:30:00,234.36,235.4,234.36,235.1,0,234.03544097900388,232.92099508047878,,3.192175890903542,241.42438224872652,222.80023377910553,4.101967659089883,-0.9097917681863414
 24:00:00,235.63499450683597,235.82000732421875,235.2700042724609,235.33810424804688,816967,234.2050914655413,233.2432763028212,,3.1248539440044,241.30755878634073,224.02336827664755,3.9065449160727868,-0.7816909720683869
 24:00:00,238.94000244140625,239.0800018310547,238.80999755859372,239.00999450683597,930564,234.69736288888114,234.0121720633565,,3.329412280394223,242.03719806713178,224.35272862964558,3.7911183889370745,-0.46170610854285155
 24:00:00,239.5500030517578,239.6300048828125,238.3300018310547,238.56509399414065,1525267,235.2398696027483,234.61922832079438,,3.4162461237849584,242.4392422346239,225.09019386156754,3.7161439359066515,-0.2998978121216931
 24:00:00,237.80999755859372,237.94639587402344,237.6649932861328,237.7050018310547,705848,235.89701224190847,235.03066478882909,,3.376735416864449,242.59408100742422,225.95335588222423,3.648262232098211,-0.27152681523376243
 24:00:00,245.4850006103516,246.1000061035156,245.33999633789065,245.82000732421875,1641495,236.5141561453683,236.46924379354772,,3.95464928506388,244.43368833654557,225.88374977380602,3.7095396426913454,0.24510964237253452
 13:30:00,245.83,246.14,245.07,246.1,0,237.09344146728517,237.7533446210747,,4.384699175481131,246.12454042893359,225.77889713210152,3.844571549249303,0.5401276262318282
 24:00:00,255.2449951171875,255.7666015625,254.7346954345703,255.38999938964844,24179763,238.20844151088173,240.10489859021786,,5.412747340931219,250.33421674717567,223.81192100917195,4.158206707585686,1.254540633345533
 24:00:00,254.63999938964844,254.83999633789065,254.33560180664065,254.3500061035156,790896,239.21415623256138,242.0042462586576,,6.073552025043284,253.29516337651896,223.0741555321724,4.541275771077206,1.532276253966078
 24:00:00,251.75,251.7899932861328,251.360107421875,251.44000244140625,327791,240.25487104143414,243.2623470830241,,6.28992518028997,255.01792716603535,223.3983919867967,4.891005652919759,1.3989195273702109
 24:00:00,254.5500030517578,256.1000061035156,254.22999572753903,255.75140380859372,2058634,241.82247183663503,244.9275546464334,,6.731697702378057,257.17269665421514,223.96826239119503,5.259144062811419,1.4725536395666374
 24:00:00,256.56500244140625,256.7298889160156,256.32000732421875,256.32000732421875,463790,243.92997218540737,246.4465483368048,,7.046459956515434,259.46007264624217,223.59488786401175,5.616607241552223,1.4298527149632116
