timestampUTC,localTime,open,high,low,close,volume,movingAverage,ema,rsi,macd,bollingerUpper,bollingerLower,macd_signal,macd_hist,target
2025-06-05 00:00:00+00:00,04:30:00,1.1313369274139404,1.1361182928085327,1.1281206607818604,1.1313369274139404,0.0,1.131830096244812,1.1321917533874513,0.0,-7.868220663498349e-05,1.1332249883431285,1.1304352041464956,-1.57364413269967e-05,-6.294576530798678e-05,1
2025-07-05 00:00:00+00:00,04:30:00,1.1342755556106567,1.1377729177474976,1.1327080726623535,1.1342755556106567,0.0,1.1326452493667603,1.1324695936838787,74.87015945330296,9.498933612861471e-05,1.1356363289928546,1.129654169740666,6.408714164125583e-06,8.858062196448913e-05,0
2025-08-05 00:00:00+00:00,04:30:00,1.1306205987930298,1.1336711645126345,1.123608112335205,1.1306205987930298,0.0,1.1321390867233276,1.1322230610317656,38.768577494692146,-6.158922221333185e-05,1.1353114015719512,1.128966771874704,-7.1908731113659034e-06,-5.4398349101965946e-05,0
2025-09-05 00:00:00+00:00,04:30:00,1.122422695159912,1.129114270210266,1.1199839115142822,1.122422695159912,0.0,1.1301958084106445,1.1309163455821851,18.625050999592005,-0.0008375266819924398,1.1393103187175666,1.1210812981037224,-0.0001732580348875807,-0.0006642686471048591,1
2025-12-05 00:00:00+00:00,04:30:00,1.12296462059021,1.1242902278900146,1.1075055599212646,1.12296462059021,0.0,1.128990610440572,1.1298561155832552,21.327246165084006,-0.00139267990895231,1.1390563687347885,1.1189248521463555,-0.00041714240970052655,-0.0009755374992517835,0
,04:30:00,1.1095577478408811,1.1177430152893066,1.109668493270874,1.1095577478408811,0.0,1.1262144872120448,1.1271496665509386,11.70853969081459,-0.0028812521447341144,1.143541489070525,1.1088874853535644,-0.0009099643567072441,-0.0019712877880268703,1
,04:30:00,1.1185556650161743,1.1264559030532837,1.1182429790496826,1.1185556650161743,0.0,1.125257134437561,1.1260037996796368,32.22367590697122,-0.0032968950944574082,1.1421883035450324,1.1083259653300896,-0.0013873505042572769,-0.0019095445902001314,0
,04:30:00,1.1181930303573608,1.1227755546569824,1.117480754852295,1.1181930303573608,0.0,1.1244722339842055,1.12496236377,31.92471796686074,-0.0036138979470010657,1.1409952452233219,1.1079492227450891,-0.0018326599928060348,-0.001781237954195031,1
,04:30:00,1.1192693710327148,1.1219944953918457,1.1141440868377686,1.1192693710327148,0.0,1.1239519476890565,1.1242032980716954,33.74906504885509,-0.003735216048857515,1.1398737371671932,1.1080301582109198,-0.002213171204016331,-0.0015220448448411837,0
,04:30:00,1.1187559366226196,1.128604531288147,1.1173559427261353,1.1187559366226196,0.0,1.123479583046653,1.1234769832118188,33.3230761115167,-0.0038286570098198247,1.1389058816890616,1.1080532844042446,-0.00253626836517703,-0.0012923886446427947,1
,04:30:00,1.123342990875244,1.1277261972427368,1.12186861038208,1.123342990875244,0.0,1.1234682003657024,1.1234591175669422,40.08011545896499,-0.0034923154632440223,1.1381768104248495,1.1087595903065552,-0.0027274777847904287,-0.0007648376784535936,1
,04:30:00,1.128795504570007,1.1362345218658447,1.1287446022033691,1.128795504570007,0.0,1.1238779929968028,1.1241706358340176,46.522079442272634,-0.0027540431822903333,1.138267119762371,1.1094888662312345,-0.0027327908642904098,-2.125231799992352e-05,1
