timestampUTC,localTime,open,high,low,close,volume,movingAverage,ema,rsi,macd,bollingerUpper,bollingerLower
2025-08-01T22:15:00.000Z,2/8/2025, 03:45:00,202.68,202.75,202.56,202.68,0,202.75401144042965,202.6599670194215,48.45,-0.08321290891041144,203.92332024364734,201.58470263721196
2025-08-01T22:30:00.000Z,2/8/2025, 04:00:00,202.64,202.69,202.5,202.54,0,202.78845620361324,202.6485415890004,46.53,-0.08209363801407221,203.88784211697757,201.6890702902489
2025-08-01T22:45:00.000Z,2/8/2025, 04:15:00,202.5102,202.58,202.5,202.54,0,202.80455608764643,202.63820429480987,46.53,-0.08028117633730858,203.8792072550704,201.72990492022245
2025-08-01T23:00:00.000Z,2/8/2025, 04:30:00,202.56,202.56,202.4,202.41,0,202.80105630126948,202.61647055244703,44.63,-0.08831664167499298,203.88035846165656,201.7217541408824
2025-08-01T23:15:00.000Z,2/8/2025, 04:45:00,202.41,202.5,202.38,202.38,0,202.7425561486816,202.59394954745207,44.18,-0.09599893911422441,203.77912622193247,201.7059860754307
2025-08-01T23:30:00.000Z,2/8/2025, 05:00:00,202.38,202.4,202.25,202.259,0,202.64500581298824,202.56204959055188,42.33,-0.11057624976757552,203.45277825762636,201.83723336835013
2025-08-01T23:45:00.000Z,2/8/2025, 05:15:00,202.26,202.35,202.25,202.26,0,202.56700544677727,202.53328296288026,42.35,-0.12065731937042301,203.1848082298146,201.94920266373995
2025-08-04T08:00:00.000Z,4/8/2025, 13:30:00,203.29,203.8,203.29,203.77,0,202.5755051416015,202.65106553784406,64.1,-0.006724740633416104,203.2518278509146,201.8991824322884
2025-08-04T08:15:00.000Z,4/8/2025, 13:45:00,203.77,203.94,203.72,203.89,0,202.6105050195312,202.76905929614463,65.23,0.0921879605495235,203.46054643121062,201.76046360785176
2025-08-04T08:30:00.000Z,4/8/2025, 14:00:00,203.91,203.94,203.75,203.81,0,202.668985213623,202.86819650603562,63.79,0.16225132517377006,203.66721846053693,201.67075196670905
2025-08-04T08:45:00.000Z,4/8/2025, 14:15:00,203.81,204.12,203.78,204.12,0,202.76148499999994,202.98741588641317,66.83,0.240024601444361,203.9240237722996,201.59894622770028
2025-08-04T09:00:00.000Z,4/8/2025, 14:30:00,204.03,204.36,204.03,204.35,0,202.85598499999992,203.11718580199286,68.92,0.3165703352581488,204.1984725184149,201.51349748158495
2025-08-04T09:15:00.000Z,4/8/2025, 14:45:00,204.32,204.4,204.15,204.18,0,202.94248499999992,203.21840620180308,65.64,0.35937317132012936,204.3881620445365,201.49680795546334
2025-08-04T09:30:00.000Z,4/8/2025, 15:00:00,204.18,204.33,204.12,204.17,0,203.02648499999992,203.30903418258373,65.44,0.3880150152852764,204.55035120052412,201.50261879947573
2025-08-04T09:45:00.000Z,4/8/2025, 15:15:00,204.17,204.17,203.88,203.95,0,203.10498499999989,203.37007854614717,61.08,0.3884835253401775,204.64916977427401,201.56080022572576
2025-08-04T10:00:00.000Z,4/8/2025, 15:30:00,203.96,204.15,203.9,204.1,0,203.1829849999999,203.43959487508553,62.89,0.3963892409063874,204.76233295947557,201.6036370405242
2025-08-04T10:15:00.000Z,4/8/2025, 15:45:00,204.1,204.1,203.91,203.97,0,203.2554999999999,203.49010964888691,60.27,0.3876955509265656,204.839544001914,201.6714559980858
2025-08-04T10:30:00.000Z,4/8/2025, 16:00:00,203.96,204.11,203.82,203.93,0,203.32949999999988,203.53200396804056,59.45,0.3732751892509043,204.89427327431153,201.76472672568823
2025-08-04T10:45:00.000Z,4/8/2025, 16:15:00,203.94,204.03,203.84,203.88,0,203.3894999999999,203.5651464472748,58.38,0.35373473278988854,204.94203193203867,201.83696806796115
2025-08-04T11:00:00.000Z,4/8/2025, 16:30:00,203.87,203.95,203.38,203.66,0,203.4424499999999,203.57418011896291,53.79,0.31684423575873666,204.95553565190465,201.92936434809513
2025-08-04T11:15:00.000Z,4/8/2025, 16:45:00,203.63,203.7,203.41,203.69,0,203.4929499999999,203.5852105838236,54.32,0.2867238265661456,204.96781182064615,202.01808817935364
2025-08-04T11:30:00.000Z,4/8/2025, 17:00:00,203.7,203.99,203.7,203.92,0,203.5619499999999,203.61709529012612,58.25,0.2782052857278927,204.9800561279043,202.14384387209552
2025-08-04T11:45:00.000Z,4/8/2025, 17:15:00,203.92,203.92,203.7,203.84,0,203.6269499999999,203.63832431011411,56.43,0.2619790182822044,204.96885573066805,202.28504426933176
2025-08-04T12:00:00.000Z,4/8/2025, 17:30:00,203.7,204.43,202.38,203.7,0,203.69144999999992,203.64419818534134,53.29,0.23511252363636004,204.91167284440172,202.47122715559811
2025-08-04T12:15:00.000Z,4/8/2025, 17:45:00,203.63,203.95,203.6,203.9,0,203.7674499999999,203.66856026292788,56.98,0.22733834665015706,204.8307270993489,202.70417290065092
2025-08-04T12:30:00.000Z,4/8/2025, 18:00:00,203.82,204.15,203.82,204.1,0,203.8594999999999,203.70964976169665,60.34,0.23461113281027224,204.67417723670167,203.04482276329816
2025-08-04T12:45:00.000Z,4/8/2025, 18:15:00,204.1,212.015,203.8112,203.8244,0,203.93771999999993,203.72057835582078,54.06,0.21565036831680118,204.29519989929497,203.58024010070488
2025-08-04T13:00:00.000Z,4/8/2025, 18:30:00,203.89,203.98,203.57,203.85,0,203.94171999999992,203.73290422669498,54.54,0.20037967968724502,204.29334599221323,203.5900940077866
2025-08-04T13:15:00.000Z,4/8/2025, 18:45:00,203.85,204.75,203.64,204.5,0,203.97221999999994,203.80596096700975,64.53,0.23798378768759676,204.3985064745684,203.54593352543148
2025-08-04T13:30:00.000Z,4/8/2025, 19:00:00,204.5050048828125,206.11000061035156,204.19500732421875,205.4199981689453,6570146,204.0527199084472,203.9596787957655,73.43,0.3381237970317841,204.80753675840143,203.29790305849295
2025-08-04T13:45:00.000Z,4/8/2025, 19:15:00,205.3800048828125,206.30999755859375,205.36000061035156,206.1699981689453,2525031,204.15521981689446,204.17018540273503,78.23,0.4725568664948412,205.3482796127051,202.9621600210838
2025-08-04T14:00:00.000Z,4/8/2025, 19:30:00,206.19500732421875,206.5800018310547,205.94000244140625,206.0399932861328,2477558,204.23971948120112,204.348262344011,75.68,0.5621258975991452,205.68806931650707,202.79136964589517
2025-08-04T14:15:00.000Z,4/8/2025, 19:45:00,206.02999877929688,206.83999633789062,206,206.75999450683594,1794815,204.36871920654292,204.5779511214229,79.64,0.6833310660976224,206.18552890669272,202.55190950639312
2025-08-04T14:30:00.000Z,4/8/2025, 20:00:00,206.75999450683594,207.8800048828125,206.52999877929688,207.38999938964844,2495560,204.52971917602534,204.84576524220628,82.34,0.8207619316003161,206.76910356692844,202.29033478512224
2025-08-04T14:45:00.000Z,4/8/2025, 20:15:00,207.3699951171875,207.8000030517578,206.0706024169922,207.19500732421875,3292998,204.69196954223628,205.06950258335033,78.85,0.9035273516994948,207.19458398374496,202.1893551007276
2025-08-04T15:00:00.000Z,4/8/2025, 20:30:00,207.19500732421875,207.40989685058594,206.40499877929688,206.48500061035156,1368858,204.81121957275386,205.20431191925522,67.6,0.9014367338424734,207.41489068450974,202.20754846099797
2025-08-04T15:15:00.000Z,4/8/2025, 20:45:00,206.48500061035156,206.49000549316406,205.74000549316406,205.77000427246094,1661207,204.90121978637688,205.2581873814653,58.54,0.8324892571843918,207.5067958552233,202.29564371753048
2025-08-04T15:30:00.000Z,4/8/2025, 21:00:00,205.75999450683594,205.8800048828125,205.47000122070312,205.66000366210938,1252859,204.98771996948236,205.2964555986695,57.27,0.7602085443651561,207.57337163650175,202.40206830246296
2025-08-04T15:45:00.000Z,4/8/2025, 21:15:00,205.6699981689453,205.6999969482422,205.26499938964844,205.2899932861328,1251446,205.05821963378898,205.29584014033267,53.09,0.6653985137951111,207.59565512221513,202.52078414536282
2025-08-04T16:00:00.000Z,4/8/2025, 21:30:00,205.3000030517578,205.5050048828125,204.44000244140625,204.5,1679384,205.10021963378898,205.22004584125338,45.46,0.5205148543259668,207.57061252986267,202.6298267377153
2025-08-04T16:15:00.000Z,4/8/2025, 21:45:00,204.49110412597656,204.60000610351562,203.92999267578125,203.93499755859375,1575737,205.1124695117187,205.0976602905239,40.93,0.3559988026715928,207.55706465953642,202.66787436390098
2025-08-04T16:30:00.000Z,4/8/2025, 22:00:00,203.94000244140625,204.38999938964844,203.86500549316406,204.35000610351562,1683864,205.13396981689448,205.02645512985643,45.25,0.25615358854670944,207.54354856985884,202.7243910639301
2025-08-04T16:45:00.000Z,4/8/2025, 22:15:00,204.35299682617188,204.36000061035156,203.8800048828125,204.13999938964844,1225722,205.14896978637688,204.94203077364614,43.52,0.15825547963842723,207.5297036301823,202.76823594257147
2025-08-04T17:00:00.000Z,4/8/2025, 22:30:00,204.14340209960938,204.47999572753906,204.03500366210938,204.29269409179688,1046769,205.17860449096673,204.8801891848986,45.16,0.0919319747718248,207.50048297547772,202.85672600645574
