timestampUTC,localTime,open,high,low,close,volume,movingAverage,ema,rsi,macd,bollingerUpper,bollingerLower
2025-05-05T13:30:00.000Z,5/5/2025, 19:00:00,203.10000610351562,204.10000610351562,198.2100067138672,198.88999938964844,69018500,,,,,,
2025-05-06T13:30:00.000Z,6/5/2025, 19:00:00,198.2100067138672,200.64999389648438,197.02000427246094,198.50999450683594,51216500,,,,,,
2025-05-07T13:30:00.000Z,7/5/2025, 19:00:00,199.1699981689453,199.44000244140625,193.25,196.25,68536700,,,,,,
2025-05-08T13:30:00.000Z,8/5/2025, 19:00:00,197.72000122070312,200.0500030517578,194.67999267578125,197.49000549316406,50478900,,,,,,
2025-05-09T13:30:00.000Z,9/5/2025, 19:00:00,199,200.5399932861328,197.5399932861328,198.52999877929688,36453900,,,,,,
2025-05-12T13:30:00.000Z,12/5/2025, 19:00:00,210.97000122070312,211.27000427246094,206.75,210.7899932861328,63775800,,,,,,
2025-05-13T13:30:00.000Z,13/5/2025, 19:00:00,210.42999267578125,213.39999389648438,209,212.92999267578125,51909300,,,,,,
2025-05-14T13:30:00.000Z,14/5/2025, 19:00:00,212.42999267578125,213.94000244140625,210.5800018310547,212.3300018310547,49325800,,,,,,
2025-05-15T13:30:00.000Z,15/5/2025, 19:00:00,210.9499969482422,212.9600067138672,209.5399932861328,211.4499969482422,45029500,,,,,,
2025-05-16T13:30:00.000Z,16/5/2025, 19:00:00,212.36000061035156,212.57000732421875,209.77000427246094,211.25999450683594,54737900,,,,,,
2025-05-19T13:30:00.000Z,19/5/2025, 19:00:00,207.91000366210938,209.47999572753906,204.25999450683594,208.77999877929688,46140500,,,,,,
2025-05-20T13:30:00.000Z,20/5/2025, 19:00:00,207.6699981689453,208.47000122070312,205.02999877929688,206.86000061035156,42496600,,,,,,
2025-05-21T13:30:00.000Z,21/5/2025, 19:00:00,205.1699981689453,207.0399932861328,200.7100067138672,202.08999633789062,59211800,,,,,,
2025-05-22T13:30:00.000Z,22/5/2025, 19:00:00,200.7100067138672,202.75,199.6999969482422,201.36000061035156,46742400,,,,,,
2025-05-23T13:30:00.000Z,23/5/2025, 19:00:00,193.6699981689453,197.6999969482422,193.4600067138672,195.27000427246094,78432900,,,45.11,,,
2025-05-27T13:30:00.000Z,27/5/2025, 19:00:00,198.3000030517578,200.74000549316406,197.42999267578125,200.2100067138672,56288500,,,52.01,,,
2025-05-28T13:30:00.000Z,28/5/2025, 19:00:00,200.58999633789062,202.72999572753906,199.89999389648438,200.4199981689453,45339700,,,52.28,,,
2025-05-29T13:30:00.000Z,29/5/2025, 19:00:00,203.5800018310547,203.80999755859375,198.50999450683594,199.9499969482422,51396800,,,51.57,,,
2025-05-30T13:30:00.000Z,30/5/2025, 19:00:00,199.3699951171875,201.9600067138672,196.77999877929688,200.85000610351562,70819900,,,52.89,,,
2025-06-02T13:30:00.000Z,2/6/2025, 19:00:00,200.27999877929688,202.1300048828125,200.1199951171875,201.6999969482422,35423300,203.2959991455078,203.2959991455078,54.17,,214.77471891844215,191.81727937257347
